time,x,y,theta,vx,vy,w,Uv,Uw,xg,yg,goalID,goalType,collisionTagID,reward,safetyViolated,U_constraint,rayAngle_0,rayDistance_0,rayTag_0,rayAngle_1,rayDistance_1,rayTag_1,rayAngle_2,rayDistance_2,rayTag_2,rayAngle_3,rayDistance_3,rayTag_3,rayAngle_4,rayDistance_4,rayTag_4,rayAngle_5,rayDistance_5,rayTag_5,rayAngle_6,rayDistance_6,rayTag_6,rayAngle_7,rayDistance_7,rayTag_7,rayAngle_8,rayDistance_8,rayTag_8,rayAngle_9,rayDistance_9,rayTag_9,rayAngle_10,rayDistance_10,rayTag_10,rayAngle_11,rayDistance_11,rayTag_11,rayAngle_12,rayDistance_12,rayTag_12,rayAngle_13,rayDistance_13,rayTag_13,rayAngle_14,rayDistance_14,rayTag_14,rayAngle_15,rayDistance_15,rayTag_15,rayAngle_16,rayDistance_16,rayTag_16,rayAngle_17,rayDistance_17,rayTag_17,rayAngle_18,rayDistance_18,rayTag_18,rayAngle_19,rayDistance_19,rayTag_19,rayAngle_20,rayDistance_20,rayTag_20,rayAngle_21,rayDistance_21,rayTag_21,rayAngle_22,rayDistance_22,rayTag_22,rayAngle_23,rayDistance_23,rayTag_23,rayAngle_24,rayDistance_24,rayTag_24,rayAngle_25,rayDistance_25,rayTag_25,rayAngle_26,rayDistance_26,rayTag_26,rayAngle_27,rayDistance_27,rayTag_27,rayAngle_28,rayDistance_28,rayTag_28,rayAngle_29,rayDistance_29,rayTag_29,rayAngle_30,rayDistance_30,rayTag_30,rayAngle_31,rayDistance_31,rayTag_31,rayAngle_32,rayDistance_32,rayTag_32,rayAngle_33,rayDistance_33,rayTag_33,rayAngle_34,rayDistance_34,rayTag_34,rayAngle_35,rayDistance_35,rayTag_35,rayAngle_36,rayDistance_36,rayTag_36
0.2399999,32.9139,1.495764,4.432652,-0.09515837,0.3312506,-1.062459,0.8692115,-0.7223883,5,13,0,0,0,-0.001998002,0,1.5916,5.464152E-06,4.999999,0,-5.000005,4.999999,0,5,4.999999,0,-10.00001,5,0,10.00001,5,0,-14.99997,4.999999,0,15.00001,4.999999,0,-19.99998,4.999999,0,20.00002,5,0,-24.99999,5,0,25.00001,4.999999,0,-29.99999,4.999999,0,30.00001,4.999998,0,-35,4.999999,0,35.00002,4.999999,0,-39.99998,5,0,40,4.999999,0,-45,5,0,45.00002,5,0,-49.99999,4.999999,0,50.00001,5,0,-55.00001,5,0,55.00002,5.000001,0,-59.99999,4.999999,0,60.00001,5,0,-65,5,0,65.00001,5,0,-69.99999,5,0,70,4.999999,0,-75.00001,5,0,75.00001,5,0,-80.00001,5.000001,0,80,5,0,-85.00001,5.000001,0,85.00001,5,0,-89.99999,4.999998,0,90.00001,5,0
0.2599999,32.9118,1.503083,4.413575,-0.1120699,0.363819,-0.9538467,0.8692115,-0.7223883,5,13,0,0,0,-0.001998002,0,1.5916,1.09283E-05,5,0,-4.999999,5,0,4.999999,5,0,-10,5,0,10.00001,5,0,-15,5,0,15.00001,5,0,-20.00001,5,0,20,4.999999,0,-25,5,0,25,5,0,-29.99998,5,0,30.00002,5,0,-35.00002,5,0,35.00001,5,0,-39.99999,5,0,40.00001,5,0,-44.99999,5,0,45.00001,5.000001,0,-50,5,0,50,5,0,-54.99999,5,0,55.00002,5,0,-60.00001,5.000001,0,60.00001,5,0,-64.99998,4.999999,0,65.00001,5.000001,0,-69.99999,5,0,70.00001,5,0,-75,5.000002,0,75.00001,5.000002,0,-80,5.000001,0,80,5,0,-84.99999,4.999999,0,85.00001,5,0,-90,5,0,90.00001,5,0
0.2799999,32.90955,1.510361,4.394498,-0.1189897,0.361615,-0.9538468,0.8692115,-0.7223883,5,13,0,0,0,-0.001998002,0,1.5916,-5.464151E-06,5,0,-4.999999,5,0,5.00001,5,0,-9.999989,5,0,10,5,0,-15.00001,5,0,15.00001,5,0,-19.99998,5,0,20.00001,5,0,-24.99999,5,0,25.00002,5.000001,0,-29.99998,5,0,30.00001,4.999999,0,-35.00001,5,0,35,5,0,-40.00002,5.000002,0,40.00001,5,0,-45,5.000001,0,45.00002,5.000001,0,-50.00002,5.000002,0,50,5.000001,0,-55.00001,5.000001,0,55.00001,5,0,-59.99998,5,0,60,5.000002,0,-65,5,0,65,5,0,-69.99998,4.999999,0,70,5,0,-74.99998,5,0,75,5.000002,0,-79.99999,5,0,80,5.000001,0,-84.99999,5,0,85.00001,5,0,-89.99999,4.999999,0,90.00001,5.000001,0
0.2999999,32.90717,1.517594,4.375421,-0.1258661,0.3592795,-0.9538468,0.8692115,-0.7223883,5,13,0,0,0,-0.001998002,0,1.5916,1.09283E-05,5.000001,0,-4.999993,5,0,5.00001,5.000001,0,-10,5,0,10,5,0,-15.00002,5,0,15.00002,5.000001,0,-19.99998,5.000001,0,19.99999,5,0,-24.99998,5.000001,0,25,5.000001,0,-30,5.000001,0,30.00002,5,0,-34.99998,5.000001,0,35.00003,5.000002,0,-40,5.000001,0,40.00002,5.000002,0,-44.99998,5.000001,0,45.00001,5.000002,0,-50,5.000001,0,50.00001,5.000002,0,-55.00001,5.000001,0,55.00002,5.000002,0,-60.00002,5.000002,0,60.00001,5.000001,0,-64.99999,5,0,65.00001,5.000002,0,-69.99998,5,0,70,5.000001,0,-74.99999,5,0,75,5.000002,0,-80.00001,5.000002,0,80,5,0,-85,5.000002,0,85.00001,5,0,-89.99999,5.000002,0,90.00002,4.94921,1
0.3199999,32.90466,1.524781,4.356344,-0.1326967,0.3568131,-0.9538468,0.8692115,-0.7223883,5,13,0,0,0,-0.001998002,0,1.5916,0,4.999999,0,-4.999994,5,0,5,4.999999,0,-10,4.999999,0,10.00001,4.999999,0,-14.99999,5,0,15,5,0,-19.99998,4.999999,0,20.00001,5,0,-24.99999,5,0,25.00002,5,0,-30,5,0,30.00002,5,0,-34.99999,5,0,35.00001,4.999999,0,-40.00001,5,0,40.00002,5,0,-44.99999,5,0,45.00001,5.000001,0,-50,5,0,50.00001,5,0,-54.99998,4.999999,0,55.00002,5,0,-59.99999,4.999998,0,60.00001,5,0,-64.99999,5,0,65,5,0,-69.99999,4.999999,0,70.00001,5,0,-75,5.000001,0,75,5.000001,0,-79.99999,4.999999,0,80,4.999999,0,-85,5.000001,0,84.99999,5.000001,0,-89.99999,5,0,90.00002,4.715065,1
0.3399999,32.902,1.531919,4.337267,-0.1394789,0.3542168,-0.9538468,0.7501283,-0.08333814,5,13,0,0,0,-0.001998002,0,0.8334665,0,4.999999,0,-5.000005,5,0,5.00001,5,0,-10.00001,4.999999,0,10,4.999999,0,-15.00001,4.999999,0,15.00001,4.999999,0,-20,5,0,20.00001,5,0,-25.00001,5,0,25.00002,5,0,-29.99997,4.999999,0,30.00002,5,0,-35.00002,5,0,35.00002,5,0,-40.00001,5,0,40,5,0,-44.99998,5,0,45.00002,5,0,-49.99999,5,0,50.00001,5,0,-54.99998,4.999999,0,55.00002,5.000001,0,-59.99998,4.999999,0,60.00001,5.000001,0,-65,5,0,65,5,0,-70,5,0,70.00001,5,0,-75,5.000001,0,75.00001,5.000001,0,-79.99998,5,0,80,4.999999,0,-85.00001,5,0,85,4.999999,0,-89.99999,4.999999,0,90.00002,4.505272,1
0.3599999,32.89817,1.541651,4.333765,-0.1933182,0.4859453,-0.1751397,0.7501283,-0.08333814,5,13,0,0,0,-0.001998002,0,0.8334665,-5.464152E-06,5,0,-5.000005,5,0,5.00001,5,0,-9.99999,5,0,10.00001,5,0,-15,5,0,15,5,0,-20.00003,5,0,20,4.999999,0,-25.00001,5,0,25.00003,5,0,-30.00002,5.000001,0,30.00001,4.999999,0,-34.99998,5,0,35.00002,5,0,-39.99998,5,0,40.00002,5.000001,0,-45,5,0,45.00001,5,0,-50,5,0,50.00001,5,0,-55.00001,5,0,55.00001,5,0,-60.00001,5,0,60,5,0,-64.99998,5,0,65,5,0,-70,5,0,70.00001,5.000001,0,-75,5.000001,0,75.00001,5.000002,0,-80,5,0,80,5,0,-84.99998,4.999999,0,85,5,0,-90,5.000001,0,90.00002,4.491905,1
0.3799998,32.8943,1.55137,4.330262,-0.1950191,0.4852651,-0.1751401,0.7501283,-0.08333814,5,13,0,0,0,-0.001998002,0,0.8334665,5.464154E-06,4.999997,0,-4.99999,4.999998,0,5.000012,4.999998,0,-9.999993,4.999998,0,10.00002,4.999998,0,-14.99999,4.999998,0,15.00001,4.999998,0,-20.00002,4.999998,0,20.00001,4.999999,0,-25.00001,4.999999,0,25.00001,4.999997,0,-29.99998,4.999998,0,30.00002,4.999998,0,-35.00001,4.999999,0,35.00002,4.999998,0,-40,4.999999,0,40.00001,4.999998,0,-44.99998,4.999998,0,45.00002,4.999999,0,-50,4.999998,0,50.00002,4.999998,0,-54.99999,4.999998,0,55.00001,4.999999,0,-60,4.999999,0,60.00001,4.999998,0,-65.00001,4.999999,0,65,4.999999,0,-70,4.999997,0,70.00001,4.999999,0,-75,4.999999,0,75.00001,5,0,-80,4.999998,0,80,4.999998,0,-85.00001,5,0,85,4.999999,0,-90,4.999999,0,90.00001,4.478791,1
0.3999999,32.8904,1.561075,4.326759,-0.1967177,0.484579,-0.1751401,0.7501283,-0.08333814,5,13,0,0,0,-0.001998002,0,0.8334665,-5.464152E-06,4.999999,0,-5.000005,4.999999,0,5,4.999999,0,-9.99999,4.999999,0,10.00001,5,0,-14.99999,5,0,15.00001,4.999999,0,-19.99999,4.999999,0,20,4.999999,0,-25,5,0,25.00002,5,0,-30,5,0,30.00001,4.999999,0,-34.99998,5,0,35.00001,4.999999,0,-40.00001,5,0,40.00001,5,0,-44.99999,4.999999,0,45,4.999998,0,-49.99999,4.999999,0,50.00001,5,0,-55,5,0,55.00002,4.999999,0,-59.99999,4.999999,0,60.00002,5.000001,0,-65.00002,5.000001,0,65.00001,5,0,-69.99998,4.999998,0,70.00001,5,0,-74.99998,4.999999,0,75.00001,5,0,-79.99998,4.999999,0,80,5,0,-85,5,0,85.00001,4.999999,0,-90,5.000001,0,90.00001,4.465919,1
0.4199998,32.88647,1.570767,4.323256,-0.1984139,0.483887,-0.1751401,0.7501283,-0.08333814,5,13,0,0,0,-0.001998002,0,0.8334665,-5.464153E-06,4.999999,0,-4.999989,5,0,5.00001,5,0,-10,4.999998,0,10,4.999998,0,-15,4.999999,0,15.00001,5,0,-19.99999,4.999999,0,20.00002,5,0,-25,5,0,25.00001,4.999999,0,-29.99999,5,0,30.00002,4.999999,0,-34.99999,5,0,35.00001,5,0,-39.99998,4.999999,0,40.00001,4.999999,0,-45,5,0,45.00002,5,0,-49.99999,4.999999,0,50.00002,5,0,-55.00001,5,0,55.00002,5,0,-60.00001,5,0,60.00001,5,0,-65,5,0,65,5,0,-70.00002,5,0,70,5,0,-75.00001,5,0,75.00001,5,0,-79.99999,4.999999,0,80.00001,5,0,-85.00001,5.000001,0,85.00001,4.999999,0,-89.99999,4.999999,0,90.00002,4.453286,1
